timestep,value,action
442,5.990721,[[-0.0029702   0.36720634  0.        ]]
443,2.6550212,[[0.12259495 0.         0.        ]]
444,2.4342382,[[-0.10817671  0.          0.        ]]
445,3.9379709,[[1. 0. 0.]]
446,4.658173,[[1.         0.27517828 0.236534  ]]
447,5.3215337,[[1.         0.19482076 0.        ]]
448,5.1527576,[[0.97029275 0.         0.        ]]
449,6.248973,[[1.        0.2655076 0.       ]]
450,5.160994,[[0.5370291  0.15459897 0.        ]]
451,5.9652696,[[1. 0. 0.]]
452,6.5952506,[[-0.8922957   0.11957914  0.        ]]
453,6.6634917,[[-1.  0.  0.]]
454,7.593471,[[0.61543787 0.         0.        ]]
455,8.780497,[[1.         0.44634187 0.        ]]
456,11.1623125,[[0.4282006  0.01227127 0.        ]]
457,13.419216,[[0.4243258 0.        0.       ]]
458,15.832842,[[-0.38975286  0.          0.        ]]
459,17.012272,[[0.1706869 0.        0.       ]]
460,18.926306,[[-0.6812234   0.27267227  0.        ]]
461,19.473598,[[0.00570697 0.6506429  0.        ]]
462,20.069468,[[-1.         0.1648501  0.       ]]
463,19.501713,[[0.6216761  0.30558446 0.        ]]
464,19.396091,[[-0.3375836  0.         0.       ]]
465,18.283724,[[-0.38846606  0.          0.        ]]
466,17.275827,[[0.81445193 0.         0.        ]]
467,16.964777,[[0.9006799 0.3167911 0.       ]]
468,17.216297,[[1. 1. 0.]]
469,17.936031,[[1. 0. 0.]]
470,18.00023,[[1. 0. 0.]]
471,18.492685,[[1. 0. 0.]]
472,19.481176,[[1.         0.68898374 0.        ]]
473,19.978205,[[1. 1. 0.]]
474,19.822393,[[1.        0.6605363 0.       ]]
475,20.408129,[[1. 0. 0.]]
476,20.268124,[[1. 0. 0.]]
477,21.403917,[[1. 0. 0.]]
478,22.232613,[[1. 0. 0.]]
479,23.111855,[[1.         0.15560785 0.12605035]]
480,23.50172,[[1. 0. 0.]]
481,24.088354,[[1. 0. 0.]]
482,24.680891,[[-0.4041307  0.711733   0.       ]]
483,24.157743,[[1.         0.34968218 0.        ]]
484,22.712652,[[-0.1950562  0.0161195  0.       ]]
485,22.340452,[[-1.          0.28334647  0.        ]]
486,21.910013,[[0.58405775 0.         0.        ]]
487,21.563255,[[0.24640504 0.00544086 0.        ]]
488,22.105402,[[1.         0.10102732 0.        ]]
489,24.32139,[[0.9865025 1.        0.       ]]
490,26.193674,[[0.08555733 0.1667288  0.        ]]
491,27.823849,[[0.3850009 0.6725136 0.       ]]
492,27.38296,[[1. 0. 0.]]
493,28.344917,[[-0.05898237  0.5563618   0.        ]]
494,27.533144,[[-0.19767153  0.16890652  0.        ]]
495,27.088938,[[0.4831705 0.        0.       ]]
496,27.089222,[[0.4109378 0.9456767 0.       ]]
497,27.343565,[[1. 0. 0.]]
498,25.748898,[[0.87784284 0.         0.        ]]
499,25.481874,[[-0.20510638  0.69581515  0.08439267]]
500,23.870916,[[1. 0. 0.]]
501,23.281458,[[-1.          0.38033932  0.        ]]
502,21.229057,[[-0.89671564  0.27096137  0.        ]]
503,22.084377,[[-0.43281183  0.          0.        ]]
504,23.71783,[[-1.  0.  0.]]
505,23.718006,[[-0.7349452   0.45456722  0.        ]]
506,20.06865,[[-1.          0.91067076  0.        ]]
507,16.987358,[[-1.  1.  0.]]
508,13.372018,[[-1.  1.  0.]]
509,10.964827,[[-0.7388176  0.         0.       ]]
510,6.6994433,[[-0.5009394  0.         0.       ]]
511,3.5657747,[[-1.          0.26989442  0.        ]]
512,2.577514,[[-0.80460083  1.          0.        ]]
513,4.600857,[[0.9248133 0.6820141 0.       ]]
514,5.9966245,[[0.8600385 0.        0.       ]]
515,7.9988017,[[1. 0. 0.]]
516,11.328478,[[1. 1. 0.]]
517,15.522548,[[0.6298868 1.        0.       ]]
518,16.966627,[[1.        0.8140518 0.       ]]
519,19.566418,[[1. 1. 0.]]
520,22.820887,[[1. 1. 0.]]
521,24.192245,[[1.         0.72606814 0.        ]]
522,25.382322,[[1. 0. 0.]]
523,27.615793,[[1.        0.5733652 0.       ]]
524,27.296803,[[1. 0. 0.]]
525,29.09909,[[1.         0.28251883 0.        ]]
526,30.63635,[[1. 1. 0.]]
527,31.137106,[[1.         0.07110174 0.        ]]
528,30.745043,[[1.         0.60195863 0.        ]]
529,30.430788,[[-0.9878477  1.         0.       ]]
530,30.241419,[[1. 1. 0.]]
531,29.997898,[[0.7582198  0.98479915 0.        ]]
532,31.37559,[[-1.         0.8020594  0.       ]]
533,32.712055,[[0.37493587 0.88928515 0.        ]]
534,31.267885,[[-1.          0.71328336  0.        ]]
535,30.145628,[[-0.78118634  0.44205865  0.        ]]
536,27.560497,[[-0.896547  0.        0.      ]]
537,26.329098,[[-0.757759    0.69699997  0.        ]]
538,25.652575,[[-0.9326023  0.         0.       ]]
539,26.779196,[[1. 0. 0.]]
540,29.021494,[[-0.44862574  0.          0.        ]]
541,30.01121,[[1. 0. 0.]]
542,30.367292,[[0.95186746 0.         0.        ]]
543,30.360245,[[1. 0. 0.]]
544,30.179201,[[0.0069207 0.        0.       ]]
545,29.658539,[[1. 0. 0.]]
546,28.619396,[[0.912164   0.85115826 0.        ]]
547,27.935497,[[-0.06315696  0.45040265  0.52026343]]
548,27.780386,[[1.         0.32292867 0.10655212]]
549,26.247643,[[1.         0.14256896 0.        ]]
550,24.825182,[[0.50609636 0.62277687 0.        ]]
551,24.416468,[[0.01010072 0.08319537 0.        ]]
552,23.68515,[[-1.  0.  0.]]
553,26.377611,[[-0.30366522  0.6830689   0.        ]]
554,28.356945,[[-0.8379664  0.5682695  0.       ]]
555,26.073416,[[-1.         0.         0.5267422]]
556,24.646173,[[-1.          0.01998757  0.        ]]
557,25.12283,[[-0.42891574  0.          0.        ]]
558,23.844492,[[-1.  0.  0.]]
559,20.742367,[[-1.  0.  0.]]
560,18.118082,[[-0.7715954  0.         0.       ]]
561,15.092165,[[-1.          0.12896562  0.        ]]
562,13.277629,[[-1.  0.  0.]]
563,13.5653715,[[-1.  0.  0.]]
564,10.605245,[[0.35809106 0.         0.        ]]
